aX	aY	aZ	gX	gY	gZ	
0.3997	-0.5857	0.0530	446.8994	55.8472	-7.7515
0.1542	-0.5525	0.2443	223.0835	14.6484	-16.9067
0.1042	-0.1224	0.2633	51.8188	-36.3770	-41.3208
-0.0580	0.3015	0.2998	-54.2603	-87.1582	-69.0918
-0.3181	0.4944	0.3368	-102.4780	-125.7324	-88.4399
-0.6073	0.6613	0.3212	-108.6426	-136.9019	-92.7734
-0.8990	0.7092	0.3052	-95.0317	-120.6665	-81.4819
-1.0687	0.6628	0.3380	-79.2236	-83.9233	-53.5278
-0.9827	0.5562	0.3916	-66.4673	-30.7007	-18.4937
-0.7426	0.4946	0.4587	-59.1431	24.7192	9.2163
-0.5396	0.4353	0.5000	-60.3027	63.5986	26.6724
-0.3955	0.3529	0.5415	-72.2046	78.7964	32.2266
-0.2798	0.3033	0.5641	-92.6514	75.0122	28.9307
-0.1567	0.3080	0.5337	-115.2954	64.2700	20.4468
-0.0638	0.3461	0.5007	-137.8174	52.7344	7.8735
-0.0265	0.3938	0.4686	-161.3159	44.3726	-6.4697
-0.0248	0.4584	0.4541	-184.0210	40.1611	-21.4233
-0.0378	0.5488	0.4670	-203.7964	39.0625	-35.3394
-0.0909	0.6635	0.4633	-218.0786	41.1377	-44.9219
-0.1571	0.7582	0.4794	-227.7832	42.6636	-47.9126
-0.1862	0.8164	0.5042	-234.0698	43.4570	-45.2271
-0.1926	0.8475	0.5323	-235.4736	45.4102	-39.3677
-0.1605	0.8655	0.5503	-232.4829	48.7061	-30.7617
-0.0977	0.8761	0.5443	-226.3794	51.9409	-21.5454
-0.0475	0.8879	0.5571	-219.7876	51.1475	-13.5498
-0.0201	0.8994	0.5999	-213.0127	43.8843	-6.1646
-0.0143	0.9196	0.6431	-203.4912	32.0435	-0.6104
-0.0153	0.9307	0.6815	-190.0024	18.6768	3.6011
-0.0150	0.9310	0.6934	-172.4243	5.7373	7.1411
-0.0131	0.9281	0.6631	-152.4048	-5.8594	9.8877
-0.0073	0.9200	0.6045	-133.5449	-15.6860	11.4136
0.0104	0.9160	0.5625	-117.9810	-24.1699	11.2915
