aX	aY	aZ	gX	gY	gZ	
-0.0216	-0.9333	0.1772	196.7773	75.2563	56.8237
0.0118	-0.9314	0.1207	203.6743	65.1855	56.0913
0.0094	-0.9421	0.0764	207.0923	56.8848	55.4199
-0.0142	-0.9344	0.0341	206.1768	50.9644	54.3213
-0.0315	-0.9423	0.0089	205.3833	47.7295	52.1240
-0.0669	-0.9423	-0.0464	206.4209	45.0439	51.3306
-0.1312	-0.9188	-0.0811	208.6182	46.0815	51.3306
-0.1545	-0.8723	-0.1138	217.1021	54.8706	50.4761
-0.0995	-0.8390	-0.1671	232.9102	67.5049	50.6592
-0.0219	-0.8246	-0.2183	250.1221	76.9043	51.8188
0.0013	-0.8335	-0.3066	265.6860	82.0313	51.3916
-0.0143	-0.8690	-0.4304	274.7192	85.6323	49.6826
0.0242	-0.9354	-0.5571	271.0571	86.5479	46.9360
0.0763	-1.0114	-0.6395	249.6338	81.9092	42.4194
0.1002	-1.0421	-0.6571	216.2476	74.2798	35.7666
0.0774	-1.0044	-0.6489	182.4951	63.9648	28.0762
0.0260	-0.9149	-0.6326	158.8745	50.5371	21.4844
-0.0162	-0.8350	-0.6442	148.1323	37.2925	17.8833
-0.0693	-0.7700	-0.6462	146.9727	30.0293	16.8457
-0.0911	-0.7091	-0.6757	155.4565	29.9072	18.3716
-0.0999	-0.7297	-0.7900	169.4946	35.5225	20.7520
-0.0723	-0.8044	-0.8711	175.0488	49.1333	23.4375
-0.0706	-0.8390	-0.9513	166.5649	64.5142	24.8413
-0.0747	-0.8234	-1.0029	148.9868	76.4771	24.3530
-0.0908	-0.7853	-1.0134	129.5166	80.5054	24.8413
-0.0950	-0.7533	-1.0381	113.5864	84.9609	24.5361
-0.0223	-0.7576	-1.1023	99.7314	89.7217	20.7520
0.0762	-0.7933	-1.1647	82.8247	87.5244	15.1978
0.1444	-0.8582	-1.3163	59.5703	75.9888	8.2397
0.1593	-0.9702	-1.5585	22.1558	57.9834	1.3428
0.1239	-1.0588	-1.6458	-39.4897	37.4756	-5.0049
0.0139	-1.1323	-1.6587	-115.9668	20.2026	-13.9160
-0.0001	-1.1688	-1.8058	-198.7915	9.2163	-24.2310
-0.0842	-1.1404	-1.7769	-293.8843	-2.1362	-35.4004
-0.1475	-0.9811	-1.7369	-386.1694	-9.5215	-47.4243
-0.1311	-0.7933	-1.7653	-468.6279	-19.2871	-58.1055
0.0139	-0.6500	-1.7499	-541.0767	-33.2642	-66.7114
0.2421	-0.4829	-1.6047	-593.8110	-55.8472	-78.3691
0.4608	-0.3885	-1.3813	-623.7183	-97.2900	-94.3604
0.5785	-0.3982	-1.1923	-641.9067	-150.6958	-116.7603
0.6377	-0.3586	-1.0162	-654.1748	-203.6133	-148.1934
0.5037	-0.1056	-0.8528	-666.5649	-257.4463	-188.4155
0.0665	0.2507	-0.4210	-673.2178	-305.9692	-228.7598
-0.5260	0.2329	-0.0104	-646.8506	-337.8906	-262.0850
-0.9817	0.0762	0.3647	-598.2666	-333.1299	-270.3247
-1.1255	0.2063	0.6221	-546.3867	-286.8042	-255.0049
-1.0576	0.4634	0.8723	-484.3140	-225.2197	-233.8867
-1.1576	0.7642	1.2400	-416.6260	-180.9082	-203.3691
-1.5969	0.8964	1.6605	-337.0361	-157.3486	-157.1655
-1.9495	0.8431	1.9343	-240.9668	-123.1689	-98.8770
-1.8958	0.7428	1.9005	-134.8877	-62.8662	-38.8794
-1.4734	0.5826	1.6478	-37.9028	6.2866	17.2119
-1.0095	0.3721	1.3645	36.0107	58.4717	62.1948
-0.7173	0.1771	1.1135	83.4351	82.1533	88.5620
-0.5229	0.0071	0.9519	108.7036	78.3691	101.2573
-0.4105	-0.1617	0.8223	119.7510	56.8848	106.9336
-0.3893	-0.3173	0.6879	122.4365	31.7993	106.3843
-0.4177	-0.4479	0.5673	118.2251	10.7422	101.8066
-0.4601	-0.5510	0.5054	106.6895	-4.3335	94.9707
-0.5275	-0.6505	0.5001	94.0552	-14.2212	87.4023
-0.5861	-0.7322	0.5057	85.3882	-17.5171	80.3833
-0.6508	-0.7742	0.5278	82.0313	-16.6016	79.3457
-0.6716	-0.8606	0.5664	87.9517	-8.7280	76.9043
-0.7394	-0.8501	0.5940	102.7832	4.8218	70.9839
-0.7333	-0.8668	0.5736	118.7744	12.1460	78.8574
-0.6324	-0.8732	0.5367	132.4463	22.7051	88.2568
-0.5391	-0.8331	0.5348	142.3340	35.2173	94.9097
-0.4818	-0.8185	0.5228	151.8555	43.0298	98.6328
-0.4178	-0.7987	0.5125	158.6304	48.1567	100.9521
-0.3607	-0.7742	0.4850	162.1094	51.2085	101.6235
-0.3292	-0.7594	0.4551	163.3301	49.9878	101.2573
-0.3474	-0.7430	0.4617	165.3442	47.1191	99.3042
-0.4332	-0.7339	0.4600	171.9971	48.4009	97.9614
-0.4093	-0.7439	0.4054	183.3496	57.8003	99.4263
-0.3568	-0.7401	0.3619	196.7163	74.7681	100.4028
-0.3091	-0.7357	0.3235	211.9141	94.9707	98.6938
-0.2216	-0.7610	0.2574	227.8442	113.5254	95.6421
-0.1235	-0.7979	0.1929	241.8213	125.3052	90.1489
