aX	aY	aZ	gX	gY	gZ	
-0.9222	0.0231	0.1919	-118.6523	-3.1128	8.7891
-0.9570	0.0247	0.1826	-115.7837	-7.0801	9.8267
-0.9800	0.0254	0.1967	-113.4644	-11.1694	10.5591
-0.9874	0.0269	0.2111	-110.1074	-13.2446	11.8408
-0.9843	0.0217	0.2091	-105.3467	-13.2446	12.3291
-0.9745	0.0188	0.2007	-99.9756	-11.3525	11.5967
-0.9626	0.0096	0.1929	-94.7876	-9.3384	10.5591
-0.9469	-0.0006	0.1923	-89.5996	-7.7515	9.7656
-0.9408	-0.0059	0.1948	-85.2051	-7.5684	9.2773
-0.9360	-0.0122	0.1926	-81.3599	-8.0566	9.3994
-0.9348	-0.0150	0.1826	-77.8809	-9.3384	10.3760
-0.9447	-0.0121	0.1703	-75.0732	-10.1929	11.4746
-0.9565	-0.0070	0.1644	-73.3032	-10.0708	12.5732
-0.9478	-0.0095	0.1602	-71.9604	-9.0942	13.3057
-0.9185	-0.0133	0.1548	-70.8618	-8.0566	13.6108
-0.9043	-0.0059	0.1561	-70.5566	-8.8501	13.7329
-0.9130	0.0040	0.1577	-69.8853	-9.6436	13.6719
-0.9203	0.0172	0.1503	-69.3970	-10.0708	14.0381
-0.8912	0.0496	0.1594	-70.9229	-9.6436	15.1367
-0.8540	0.0999	0.1830	-75.7446	-9.5215	16.0522
-0.8110	0.1411	0.2319	-83.0688	-12.3291	18.2495
-0.7479	0.1741	0.2970	-91.2476	-20.5688	23.8037
-0.7268	0.2444	0.3848	-95.8252	-35.5225	29.2969
-0.8003	0.3016	0.4260	-91.8579	-55.2979	32.6538
-0.9569	0.3622	0.6117	-80.8716	-76.5381	38.5132
-1.1890	0.4210	0.9554	-52.6123	-99.1211	51.7578
-1.3568	0.5009	1.3019	5.5542	-103.3325	74.1577
-1.5818	0.5569	1.5367	107.8491	-83.2520	101.9897
-1.7755	0.7068	1.7831	255.3711	-39.2456	136.4746
-1.6090	1.1418	1.7284	442.1387	51.8799	162.6587
-1.1753	1.7294	1.1571	655.4565	181.2744	151.6724
-0.6818	1.6897	0.3085	853.9429	282.4707	85.3271
-0.9325	1.5768	-0.4691	1000.4883	332.4585	-17.0288
-1.6134	1.6039	-1.3837	1087.9517	377.4414	-104.0649
-1.6829	1.4584	-1.8646	1092.8345	446.7163	-137.4512
-0.4550	0.7520	-2.0160	1012.6953	485.1685	-85.5103
0.3502	-0.0878	-1.3798	835.3882	424.0112	6.5918
0.2241	-0.6787	-0.7272	637.2681	288.8794	57.6172
0.0710	-1.1543	-0.7430	442.3828	83.6182	69.0918
-0.8285	-1.5088	-1.0432	252.9907	-118.1030	24.9634
-1.6667	-1.1398	-1.2140	80.8716	-219.2993	-72.2656
-1.9552	-0.2480	-1.1353	-43.7622	-239.8682	-176.3306
-1.6031	0.2365	-1.0231	-106.3843	-204.2847	-234.1919
-1.3315	0.4939	-0.8346	-122.1924	-156.6772	-241.3940
-1.4371	0.6202	-0.6881	-113.6475	-144.2871	-199.3408
-1.7112	0.4390	-0.7007	-93.6279	-134.5215	-132.7515
-1.8677	0.1649	-0.7031	-76.5381	-97.3511	-67.7490
-1.6659	0.0192	-0.5924	-71.2891	-43.2129	-15.2588
-1.3188	-0.0896	-0.4702	-76.0498	7.6294	21.2402
-1.1064	-0.2312	-0.3783	-87.2803	43.6401	41.4429
-0.9956	-0.3461	-0.3224	-107.2998	60.6689	49.6216
-0.8917	-0.4054	-0.2600	-135.8643	59.0820	50.1099
-0.8201	-0.3807	-0.1790	-168.9453	41.5649	44.1284
-0.8031	-0.3015	-0.1691	-199.6460	12.9395	32.8979
-0.8120	-0.2172	-0.2062	-223.7549	-14.9536	19.5313
-0.8552	-0.1705	-0.2012	-238.5254	-33.2642	6.8970
-0.8807	-0.1298	-0.1666	-243.2861	-43.0908	-2.1973
-0.9083	-0.0984	-0.1581	-242.0044	-47.2412	-7.5684
-0.9661	-0.0715	-0.1661	-238.9526	-47.4243	-11.4746
-1.0781	-0.0283	-0.1146	-237.0605	-43.5181	-14.0991
