aX	aY	aZ	gX	gY	gZ	
-1.0400	-0.0481	-0.1766	195.6177	50.3540	72.9370
-0.9755	-0.0713	-0.1312	196.4111	49.8047	73.4863
-0.9542	-0.0692	-0.0789	196.1670	47.1191	74.2798
-0.9825	-0.0411	-0.0638	197.3877	41.2598	75.3784
-0.9990	-0.0371	-0.0757	199.9512	34.5459	77.2095
-1.0001	-0.0438	-0.0760	201.9043	27.4658	79.1626
-1.0044	-0.0367	-0.0560	205.1392	22.9492	81.1768
-1.0098	-0.0293	-0.0768	210.0220	20.3857	83.0688
-1.0326	-0.0332	-0.1035	215.0269	20.0195	83.1909
-1.0359	-0.0540	-0.0968	219.3604	23.4375	82.3975
-1.0111	-0.0696	-0.1082	223.3276	32.6538	79.6509
-0.9817	-0.0944	-0.1340	226.0132	45.4102	73.7305
-0.9604	-0.1302	-0.1226	227.5391	57.9224	64.1479
-0.9187	-0.1504	-0.1204	228.2104	68.9697	55.4199
-0.8633	-0.1641	-0.1686	226.8066	76.3550	47.4243
-0.8182	-0.1937	-0.1919	222.5952	79.2236	39.9170
-0.7986	-0.2264	-0.1606	217.0410	76.2329	35.1563
-0.8418	-0.2377	-0.1138	211.6089	70.1294	33.2031
-0.9076	-0.2137	-0.0575	208.1299	64.9414	32.5317
-0.9360	-0.2073	-0.0886	207.0312	62.1338	33.6304
-0.9081	-0.2463	-0.1414	203.2471	61.8286	35.2173
-0.8556	-0.2809	-0.1708	193.9697	62.6831	36.3770
-0.8267	-0.2968	-0.1826	181.0913	61.4014	36.7432
-0.8275	-0.2889	-0.1805	167.7856	56.8848	35.7666
-0.8275	-0.2919	-0.1693	158.0200	49.8047	33.2642
-0.8197	-0.2905	-0.1440	152.5879	42.4194	31.0669
-0.8379	-0.2728	-0.1063	151.3672	34.1797	28.7476
-0.8828	-0.2596	-0.0729	155.4565	26.7944	25.9399
-0.9115	-0.2601	-0.0641	163.5132	23.0713	23.9258
-0.9055	-0.2817	-0.0969	172.4854	22.8271	22.0947
-0.8959	-0.3112	-0.1393	177.1851	25.3906	21.1792
-0.9193	-0.2954	-0.1375	177.4902	30.5786	20.1416
-0.9047	-0.2759	-0.1205	178.4668	34.7290	20.9961
-0.8517	-0.2830	-0.1255	178.8330	34.2407	25.3906
-0.8339	-0.3088	-0.1519	177.8564	29.6631	31.7993
