aX	aY	aZ	gX	gY	gZ	
-0.1176	-0.2820	1.0425	-12.5122	12.5732	3.4180
-0.0822	-0.2699	1.0688	-11.5967	9.8267	4.1504
-0.0664	-0.2448	1.1125	-9.6436	7.0190	5.4932
-0.0758	-0.2379	1.1234	-4.8218	2.2583	7.4463
-0.0664	-0.2390	1.1365	-2.0142	2.0752	8.0566
-0.0946	-0.2688	1.1296	1.5869	0.9766	8.1787
-0.2004	-0.2014	1.1663	0.8545	-0.3662	4.6387
-0.2419	-0.1757	1.2391	2.1362	1.4648	3.3569
-0.2223	-0.2396	1.2443	8.4229	6.4087	4.9438
-0.1931	-0.2432	1.2383	14.5874	8.6670	7.3242
-0.1106	-0.2838	1.2140	19.7144	7.5073	8.6060
-0.0734	-0.3049	1.1906	22.1558	3.9673	6.5918
-0.0492	-0.3165	1.1792	23.3765	-2.6855	3.2959
-0.0537	-0.2906	1.1755	22.7661	-6.1035	-0.4883
-0.0670	-0.2792	1.1559	25.3906	-7.4463	-1.7700
-0.1154	-0.2830	1.1218	32.2876	-9.0332	-2.2583
-0.1510	-0.3009	1.0699	36.6821	-5.9814	-3.2349
-0.1433	-0.2849	1.0236	37.9639	-0.5493	-4.5776
-0.1238	-0.2847	0.9868	38.4521	5.0659	-3.7842
-0.1039	-0.2859	0.9526	41.0156	4.1504	-1.7090
-0.0944	-0.2853	0.9280	40.6494	2.2583	-1.9531
-0.1055	-0.2913	0.9072	40.0391	-2.1362	-2.6245
-0.1158	-0.2760	0.8861	38.2690	-5.1270	-2.1973
-0.1364	-0.2677	0.8610	37.1704	-6.5308	-1.4648
-0.1510	-0.2830	0.8347	37.2314	-4.8828	-1.1597
-0.1475	-0.2937	0.8080	36.6211	-0.8545	-1.5869
-0.1364	-0.3036	0.7802	36.8652	2.0752	0.0000
-0.1083	-0.3274	0.7625	34.8511	4.5776	-1.0986
-0.0935	-0.3296	0.7482	32.4707	6.1035	-0.5493
-0.0793	-0.3412	0.7236	31.7993	1.5259	-0.6714
-0.0944	-0.3479	0.6864	30.3955	-1.7090	-0.8545
-0.1259	-0.3362	0.6390	30.3955	-8.0566	-1.8311
-0.1482	-0.3206	0.5690	28.0151	-7.8125	-3.3569
-0.1475	-0.3252	0.4642	28.1982	-7.7515	-2.2583
-0.1279	-0.3213	0.3376	25.3296	-5.3711	-2.3804
-0.1223	-0.2889	0.1906	22.7051	-7.2632	-2.6855
-0.1331	-0.2632	-0.0071	19.2261	-6.4087	-3.7231
