aX	aY	aZ	gX	gY	gZ	
-0.1709	0.9259	0.7061	-43.3960	-42.5415	-50.7202
-0.1757	0.9341	0.6996	-31.2500	-53.5278	-57.1289
-0.1848	0.9421	0.6906	-18.1885	-63.2324	-63.2935
-0.1898	0.9409	0.6836	-4.9438	-70.4346	-70.8008
-0.1752	0.9336	0.6714	9.5825	-78.0640	-77.6978
-0.1498	0.9337	0.6538	23.7427	-83.1909	-83.8623
-0.1174	0.9454	0.6378	37.3535	-90.6372	-88.6230
-0.0889	0.9335	0.5953	51.8799	-98.6938	-88.8062
-0.0588	0.9067	0.5433	67.6880	-108.9478	-84.1675
-0.0563	0.8953	0.5343	82.8857	-124.6338	-77.3315
-0.0697	0.8942	0.5304	102.2339	-144.7144	-69.8242
-0.1023	0.9012	0.4930	126.9531	-162.9639	-64.2700
-0.1333	0.9065	0.4617	157.4707	-180.4199	-56.3965
-0.1560	0.9061	0.4330	191.8945	-194.4580	-49.1333
-0.1708	0.9159	0.3689	230.1636	-208.9844	-41.7480
-0.1725	0.9257	0.2584	267.6392	-227.7222	-35.8276
-0.1680	0.9224	0.1136	300.0488	-252.3193	-35.2783
-0.1549	0.9154	-0.0438	321.0449	-280.0903	-40.1611
-0.2213	0.9386	-0.1329	329.4678	-303.9551	-49.9268
-0.4010	0.9968	-0.1813	336.4258	-318.4814	-59.2041
-0.6554	1.0437	-0.2412	341.6748	-318.6646	-67.8101
-0.8584	1.0302	-0.3167	336.5479	-294.9829	-74.7070
-0.9557	0.9341	-0.3988	317.1387	-253.6011	-80.6274
-1.0365	0.7897	-0.4293	283.5083	-199.3408	-84.2285
-1.0958	0.6869	-0.4032	240.9668	-136.8408	-82.3364
-1.0760	0.6707	-0.3514	195.3125	-77.2705	-76.8433
-0.9702	0.6898	-0.3002	152.2827	-24.8413	-72.1436
-0.8462	0.7087	-0.2627	114.8071	13.1836	-72.1436
-0.7500	0.7167	-0.2095	80.7495	32.5317	-73.5474
-0.7017	0.7294	-0.1251	49.9268	33.0811	-72.0215
-0.6857	0.7417	-0.0537	28.6255	20.8740	-63.7817
-0.6740	0.7343	0.0092	16.4185	1.0376	-53.5889
-0.6736	0.7338	0.0719	9.8877	-21.6675	-42.9688
-0.7151	0.7391	0.1238	5.5542	-43.2129	-36.4990
-0.7773	0.7335	0.1490	4.9438	-62.5610	-30.7007
-0.8242	0.7147	0.1750	2.3804	-71.4722	-26.3062
-0.8199	0.6797	0.1934	0.7324	-74.7681	-21.6064
-0.7786	0.6522	0.1670	-2.6245	-74.9512	-20.4468
-0.7743	0.6320	0.2002	-10.9863	-82.3975	-13.4888
-0.7758	0.5978	0.2203	-13.5498	-67.8711	-12.4512
-0.7744	0.6401	0.2389	-17.7002	-56.6406	-24.4751
-0.7588	0.6584	0.2585	-16.2354	-38.8184	-13.2446
-0.7877	0.6514	0.3143	-11.4136	-31.1279	-3.6621
-0.7959	0.6320	0.3339	-4.8218	-22.0947	-2.7466
-0.8055	0.6492	0.3403	3.7842	-15.3809	-0.8545
-0.8320	0.6599	0.3499	12.1460	-7.0801	4.3945
-0.8306	0.6139	0.3508	18.3716	1.6479	12.0850
-0.7877	0.5519	0.3427	20.1416	7.8125	14.2822
-0.7384	0.5211	0.3300	16.9067	11.4746	14.6484
-0.7020	0.5223	0.3126	11.6577	10.1318	15.6860
-0.6964	0.5352	0.3074	4.6997	6.2866	16.2964
-0.7068	0.5616	0.3097	-1.5259	0.7324	14.6484
-0.7417	0.5925	0.3219	-4.3335	-6.3477	17.8833
-0.7933	0.6067	0.3320	-4.4556	-13.5498	20.5688
-0.8497	0.6068	0.3658	-3.1128	-17.7002	23.9258
-0.8926	0.6058	0.4019	0.0610	-16.1743	28.3813
-0.9064	0.6001	0.4050	4.3335	-8.3008	30.3955
-0.8772	0.5931	0.3766	9.3384	2.9297	34.7290
-0.8304	0.5891	0.3378	11.2915	12.8174	35.5835
-0.7845	0.5848	0.3030	11.4136	15.9302	35.5225
-0.7563	0.5758	0.2784	8.6060	13.7329	33.3862
-0.7583	0.5741	0.2694	4.7607	5.4321	31.0669
-0.7803	0.5797	0.2507	0.9766	-4.8218	29.1138
-0.8124	0.5758	0.2391	-2.0752	-13.4888	28.1372
